id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,22367.0,431264536514,1,469061391782,21562181479,22493.0,22215.0,-61.76427788619549,-0.27538,-2162021544.050537,-0.49882,19307825.0,21000000.0,21000000.0,69045.0,-67.61574,2021-11-10T14:24:11.849Z,67.81,32874.43869,2013-07-06T00:00:00.000Z,,2023-03-04T09:15:35.577Z
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1570.43,188911546244,2,188911546244,6896979347,1579.87,1558.27,-2.020325206480493,-0.12848,-620611665.0744629,-0.32744,120477031.19381,120477031.19381,,4878.26,-67.8288,2021-11-10T14:24:19.604Z,0.432979,362364.58994,2015-10-20T00:00:00.000Z,"{'times': 92.90090667649523, 'currency': 'btc', 'percentage': 9290.090667649523}",2023-03-04T09:15:30.741Z
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,1.001,71395218401,3,71395218401,27263294969,1.005,0.997735,-5.184029573169e-06,-0.00052,232705798.0,0.32701,71359128182.7555,71359128182.7555,,1.32,-24.33429,2018-07-24T00:00:00.000Z,0.572521,74.86335,2015-03-02T00:00:00.000Z,,2023-03-04T09:15:27.081Z
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,289.72,45707172835,4,57895569964,397547051,291.59,288.05,-1.6682002087534897,-0.57249,-293161904.58296967,-0.6373,157895234.0,157900174.0,200000000.0,686.31,-57.75431,2021-05-10T07:24:17.097Z,0.0398177,728056.03499,2017-10-19T00:00:00.000Z,,2023-03-04T09:16:01.174Z
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.377298,19200019701,6,37683367363,838776990,0.380899,0.366017,0.01012751,2.75826,477120777.0,2.54833,50950912949.0,99989113908.0,100000000000.0,3.4,-88.90673,2018-01-07T00:00:00.000Z,0.00268621,13934.63648,2014-05-22T00:00:00.000Z,,2023-03-04T09:15:31.502Z
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.34264,11990886720,8,15397048984,219559623,0.34519,0.337713,0.00336347,0.99136,101686472.0,0.85528,35045020830.3234,45000000000.0,45000000000.0,3.09,-88.91823,2021-09-02T06:00:10.474Z,0.01925275,1676.80742,2020-03-13T02:22:55.044Z,,2023-03-04T09:15:42.729Z
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,6.02,7254343379,14,7740292672,213641306,6.08,5.94,-0.0575988016881439,-0.94818,-82457504.33291149,-1.12389,1208424052.11122,1289373186.03175,,54.98,-89.08967,2021-11-04T14:10:09.301Z,2.7,122.37994,2020-08-20T05:48:11.359Z,,2023-03-04T09:15:58.843Z
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,90.02,6504431744,16,7545860865,371875698,90.88,88.78,0.949013,1.06549,50050512.0,0.77545,72406883.2334713,84000000.0,84000000.0,410.26,-78.1152,2021-05-10T03:13:07.904Z,1.15,7715.21732,2015-01-14T00:00:00.000Z,,2023-03-04T09:15:08.832Z
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,6.94,3407408818,24,6931263257,230834870,7.01,6.87,0.04811553,0.69805,18816441.0,0.55529,491599971.2305644,1000000000.0,1000000000.0,52.7,-86.85569,2021-05-10T00:13:57.214Z,0.148183,4574.35344,2017-11-29T00:00:00.000Z,,2023-03-04T09:16:15.112Z
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.085895,2267175217,31,4289128685,48140706,0.086152,0.084566,0.00084081,0.98855,20563194.0,0.9153,26430266286.3889,50001787442.7577,50001787442.7577,0.875563,-90.19401,2018-01-03T00:00:00.000Z,0.00047612,17932.63572,2015-03-05T00:00:00.000Z,,2023-03-04T09:16:15.878Z
